0.00.029.853 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.110.275 W srv  llama_server: -----------------
0.00.110.279 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.110.279 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.110.280 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.110.280 W srv  llama_server: -----------------
0.00.115.907 I srv    load_model: loading model 'C:/Users/cpuch/.lmstudio/models/unsloth/Qwen3.8-27B-GGUF/Qwen3.8-27B-Q4_K_M.gguf'
0.01.005.950 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.005.961 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.005.976 W model has unused tensor blk.64.attn_q.weight (size = 35389440 bytes) -- ignoring
0.01.005.981 W model has unused tensor blk.64.attn_k.weight (size = 2949120 bytes) -- ignoring
0.01.005.986 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.01.006.003 W model has unused tensor blk.64.attn_output.weight (size = 17694720 bytes) -- ignoring
0.01.006.009 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.006.014 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.006.018 W model has unused tensor blk.64.ffn_gate.weight (size = 50135040 bytes) -- ignoring
0.01.006.023 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.01.006.028 W model has unused tensor blk.64.ffn_up.weight (size = 50135040 bytes) -- ignoring
0.01.006.034 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 55705600 bytes) -- ignoring
0.01.006.040 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.006.046 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.006.061 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.08.463.967 I cmn          init: llama threadpool init, n_threads = 16
0.08.580.013 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.08.585.630 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.08.585.649 I srv  llama_server: model loaded
0.08.585.650 I srv  llama_server: listening on http://127.0.0.1:8144
0.10.924.368 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.924.689 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.12.304.152 I slot print_timing: id  3 | task 0 | prompt eval time =     732.88 ms /   903 tokens (    0.81 ms per token,  1232.12 tokens per second)
0.12.304.157 I slot print_timing: id  3 | task 0 |        eval time =     646.53 ms /    31 tokens (   21.55 ms per token,    46.40 tokens per second)
0.12.304.158 I slot print_timing: id  3 | task 0 |       total time =    1379.42 ms /   934 tokens
0.12.304.158 I slot print_timing: id  3 | task 0 |    graphs reused =         30
0.12.304.229 I slot      release: id  3 | task 0 | stop processing: n_tokens = 933, truncated = 0
0.12.323.974 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.889 (> 0.100 thold), f_keep = 1.000
0.12.324.401 I slot launch_slot_: id  3 | task 35 | processing task, is_child = 0
0.14.350.680 I slot print_timing: id  3 | task 35 | prompt eval time =     184.59 ms /   117 tokens (    1.58 ms per token,   633.82 tokens per second)
0.14.350.686 I slot print_timing: id  3 | task 35 |        eval time =    1841.64 ms /    88 tokens (   21.17 ms per token,    47.24 tokens per second)
0.14.350.688 I slot print_timing: id  3 | task 35 |       total time =    2026.24 ms /   205 tokens
0.14.350.688 I slot print_timing: id  3 | task 35 |    graphs reused =        116
0.14.350.762 I slot      release: id  3 | task 35 | stop processing: n_tokens = 1137, truncated = 0
0.14.360.164 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.861 (> 0.100 thold), f_keep = 1.000
0.14.360.590 I slot launch_slot_: id  3 | task 125 | processing task, is_child = 0
0.15.715.118 I slot print_timing: id  3 | task 125 | prompt eval time =     203.38 ms /   183 tokens (    1.11 ms per token,   899.80 tokens per second)
0.15.715.128 I slot print_timing: id  3 | task 125 |        eval time =    1151.10 ms /    55 tokens (   21.32 ms per token,    46.91 tokens per second)
0.15.715.129 I slot print_timing: id  3 | task 125 |       total time =    1354.48 ms /   238 tokens
0.15.715.130 I slot print_timing: id  3 | task 125 |    graphs reused =        169
0.15.715.252 I slot      release: id  3 | task 125 | stop processing: n_tokens = 1374, truncated = 0
0.15.726.535 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.950 (> 0.100 thold), f_keep = 1.000
0.15.727.005 I slot launch_slot_: id  3 | task 182 | processing task, is_child = 0
0.16.891.306 I slot print_timing: id  3 | task 182 | prompt eval time =     180.45 ms /    72 tokens (    2.51 ms per token,   398.99 tokens per second)
0.16.891.311 I slot print_timing: id  3 | task 182 |        eval time =     983.80 ms /    47 tokens (   21.39 ms per token,    46.76 tokens per second)
0.16.891.312 I slot print_timing: id  3 | task 182 |       total time =    1164.25 ms /   119 tokens
0.16.891.312 I slot print_timing: id  3 | task 182 |    graphs reused =        214
0.16.891.397 I slot      release: id  3 | task 182 | stop processing: n_tokens = 1492, truncated = 0
0.16.927.551 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.973 (> 0.100 thold), f_keep = 1.000
0.16.928.027 I slot launch_slot_: id  3 | task 231 | processing task, is_child = 0
0.18.168.380 I slot print_timing: id  3 | task 231 | prompt eval time =     177.53 ms /    42 tokens (    4.23 ms per token,   236.58 tokens per second)
0.18.168.387 I slot print_timing: id  3 | task 231 |        eval time =    1062.78 ms /    50 tokens (   21.69 ms per token,    46.11 tokens per second)
0.18.168.387 I slot print_timing: id  3 | task 231 |       total time =    1240.31 ms /    92 tokens
0.18.168.388 I slot print_timing: id  3 | task 231 |    graphs reused =        261
0.18.168.471 I slot      release: id  3 | task 231 | stop processing: n_tokens = 1583, truncated = 0
0.18.200.196 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.963 (> 0.100 thold), f_keep = 1.000
0.18.200.627 I slot launch_slot_: id  3 | task 283 | processing task, is_child = 0
0.20.225.940 I slot print_timing: id  3 | task 283 | prompt eval time =     170.76 ms /    61 tokens (    2.80 ms per token,   357.23 tokens per second)
0.20.225.945 I slot print_timing: id  3 | task 283 |        eval time =    1854.51 ms /    88 tokens (   21.32 ms per token,    46.91 tokens per second)
0.20.225.946 I slot print_timing: id  3 | task 283 |       total time =    2025.26 ms /   149 tokens
0.20.225.946 I slot print_timing: id  3 | task 283 |    graphs reused =        347
0.20.226.038 I slot      release: id  3 | task 283 | stop processing: n_tokens = 1731, truncated = 0
0.20.256.020 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 1.000
0.20.256.426 I slot launch_slot_: id  3 | task 373 | processing task, is_child = 0
0.22.580.251 I slot print_timing: id  3 | task 373 | prompt eval time =     181.76 ms /    30 tokens (    6.06 ms per token,   165.06 tokens per second)
0.22.580.256 I slot print_timing: id  3 | task 373 |        eval time =    2142.02 ms /   101 tokens (   21.42 ms per token,    46.68 tokens per second)
0.22.580.257 I slot print_timing: id  3 | task 373 |       total time =    2323.78 ms /   131 tokens
0.22.580.257 I slot print_timing: id  3 | task 373 |    graphs reused =        445
0.22.580.347 I slot      release: id  3 | task 373 | stop processing: n_tokens = 1861, truncated = 0
0.22.614.913 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.976 (> 0.100 thold), f_keep = 1.000
0.22.615.368 I slot launch_slot_: id  3 | task 476 | processing task, is_child = 0
0.25.872.352 I slot print_timing: id  3 | task 476 | n_gen =    143, tg =  47.10 t/s, tg_3s =  47.43 t/s
0.26.091.968 I slot print_timing: id  3 | task 476 | prompt eval time =     242.05 ms /    45 tokens (    5.38 ms per token,   185.91 tokens per second)
0.26.091.972 I slot print_timing: id  3 | task 476 |        eval time =    3234.50 ms /   153 tokens (   21.28 ms per token,    46.99 tokens per second)
0.26.091.973 I slot print_timing: id  3 | task 476 |       total time =    3476.55 ms /   198 tokens
0.26.091.973 I slot print_timing: id  3 | task 476 |    graphs reused =        595
0.26.092.068 I slot      release: id  3 | task 476 | stop processing: n_tokens = 2058, truncated = 0
0.26.125.047 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 1.000
0.26.125.500 I slot launch_slot_: id  3 | task 632 | processing task, is_child = 0
0.27.238.489 I slot print_timing: id  3 | task 632 | prompt eval time =     265.27 ms /    25 tokens (   10.61 ms per token,    94.25 tokens per second)
