dflash2-backport.patch                        hunks=25  clean=2   fuzz=1   failed=13  nofile=0
dflash2-lookup-drafting.patch                 hunks=24  clean=8   fuzz=0   failed=12  nofile=0
dflash2-ngram-chains.patch                    hunks=7   clean=0   fuzz=0   failed=8   nofile=0
dflash2-prewarm.patch                         hunks=2   clean=2   fuzz=0   failed=0   nofile=0
hybrid-kv-groups-v2-cudagraph.patch           hunks=4   clean=3   fuzz=0   failed=0   nofile=0
hybrid-sw-block-promote.patch                 hunks=2   clean=1   fuzz=1   failed=0   nofile=0
int4-kv-per-token-head.patch                  hunks=9   clean=1   fuzz=0   failed=0   nofile=0
mamba-align-checkpoint-order.patch            hunks=5   clean=4   fuzz=0   failed=0   nofile=0
marlin-int8-layer-select.patch                hunks=3   clean=2   fuzz=0   failed=0   nofile=0
marlin-int8-negative-scales.patch             hunks=1   clean=0   fuzz=0   failed=0   nofile=0
marlin-repack-staged-sm80.patch               hunks=3   clean=1   fuzz=0   failed=0   nofile=0
marlin-tune-table.patch                       hunks=2   clean=0   fuzz=0   failed=0   nofile=0
offload-dflash-eagle-groups.patch             hunks=2   clean=1   fuzz=1   failed=0   nofile=0
offload-wsl2-devptr.patch                     hunks=3   clean=2   fuzz=0   failed=2   nofile=0
qwen3_5-embed-quant.patch                     hunks=2   clean=1   fuzz=0   failed=0   nofile=0
qwen3_5-mtp-draft-vocab.patch                 hunks=3   clean=2   fuzz=1   failed=0   nofile=0
sampler-small-topk-fast-softmax.patch         hunks=10  clean=3   fuzz=0   failed=0   nofile=0
spec-decode-attn.patch                        hunks=3   clean=2   fuzz=0   failed=0   nofile=0
spec-decode-int4-kv-mq3d.patch                hunks=3   clean=1   fuzz=0   failed=0   nofile=0
spec-decode-int8-kv.patch                     hunks=10  clean=1   fuzz=0   failed=3   nofile=1
spec-decode-scratch-token-units.patch         hunks=15  clean=12  fuzz=0   failed=4   nofile=0
spec-decode-scratch-within-budget.patch       hunks=5   clean=1   fuzz=1   failed=3   nofile=0
spec-sampler-prewarm.patch                    hunks=3   clean=1   fuzz=1   failed=0   nofile=0
speed-knobs-envs.patch                        hunks=2   clean=2   fuzz=0   failed=0   nofile=0
triton-prefill-attn-int8.patch                hunks=2   clean=0   fuzz=0   failed=2   nofile=0
vision-tower-cpu-offload.patch                hunks=6   clean=3   fuzz=0   failed=5   nofile=0
vllm-pr50021-gdn-spec-bounds.patch            hunks=5   clean=0   fuzz=0   failed=0   nofile=0
xgrammar-spec-terminated.patch                hunks=2   clean=2   fuzz=0   failed=0   nofile=0
kvarn-0.27.1.patch                            hunks=11  clean=1   fuzz=5   failed=3   nofile=0
kvarn-v2-runner.patch                         hunks=13  clean=5   fuzz=2   failed=8   nofile=0
