# continuous GPU adapter memory counters + nvidia-smi, every 10 s, started 2026-09-05T15:12:32Z; columns: utc | adapter ded/shr/com MB (adapters over 100 MB) || nvidia-smi index,used,total
15:12:32 | 3c6c_phys_0 ded=20797 shr=86 com=20883 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1922 shr=1530 com=5959 || 0, 20792 MiB; 1, 23356 MiB
15:12:44 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1927 shr=1530 com=5965 || 0, 20804 MiB; 1, 23356 MiB
15:12:55 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1927 shr=1521 com=5965 || 0, 20804 MiB; 1, 23356 MiB
15:13:06 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1921 shr=1521 com=5959 || 0, 20804 MiB; 1, 23356 MiB
15:13:17 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1921 shr=1505 com=5971 || 0, 20804 MiB; 1, 23356 MiB
15:13:28 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1925 shr=1497 com=5971 || 0, 20804 MiB; 1, 23356 MiB
15:13:39 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1929 shr=1497 com=5975 || 0, 20804 MiB; 1, 23356 MiB
15:13:51 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1931 shr=1493 com=5976 || 0, 20804 MiB; 1, 23356 MiB
15:14:03 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1931 shr=1493 com=5976 || 0, 20804 MiB; 1, 23356 MiB
15:14:14 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1925 shr=1493 com=5971 || 0, 20804 MiB; 1, 23356 MiB
15:14:25 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1925 shr=1493 com=5971 || 0, 20804 MiB; 1, 23356 MiB
15:14:36 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1931 shr=1493 com=5976 || 0, 20804 MiB; 1, 23356 MiB
15:14:47 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1929 shr=1493 com=5975 || 0, 20804 MiB; 1, 23356 MiB
15:14:58 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1917 shr=1463 com=5971 || 0, 20804 MiB; 1, 23356 MiB
15:15:09 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1913 shr=1463 com=5967 || 0, 20804 MiB; 1, 23356 MiB
15:15:20 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1919 shr=1463 com=5972 || 0, 20804 MiB; 1, 23356 MiB
15:15:31 | 3c6c_phys_0 ded=20809 shr=86 com=20895 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1917 shr=1465 com=5967 || 0, 20804 MiB; 1, 23356 MiB
15:15:42 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1923 shr=1465 com=5972 || 0, 0 MiB; 1, 23356 MiB
15:15:54 | 4ca2_phys_0 ded=23364 shr=1818 com=25182 | 5c7c_phys_0 ded=1917 shr=1457 com=5967 || 0, 0 MiB; 1, 23356 MiB
15:16:05 | 4ca2_phys_0 ded=23376 shr=1818 com=25194 | 5c7c_phys_0 ded=1917 shr=1457 com=5967 || 0, 0 MiB; 1, 23368 MiB
15:16:16 | 4ca2_phys_0 ded=23376 shr=1818 com=25194 | 5c7c_phys_0 ded=1917 shr=1457 com=5967 || 0, 0 MiB; 1, 23368 MiB
15:16:27 | 3c6c_phys_0 ded=15288 shr=86 com=15375 | 4ca2_phys_0 ded=23376 shr=1818 com=25194 | 5c7c_phys_0 ded=1923 shr=1457 com=5972 || 0, 15284 MiB; 1, 23368 MiB
