# soak sampler started 03:52:14Z for 9 h
03:52:18 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1956 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
03:52:31 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1956 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
03:52:45 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1956 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
03:52:58 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1956 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
03:53:11 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1956 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
03:53:24 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=4 | 5c7c_phys_0 ded=1956 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
03:53:37 | 3c6c_phys_0 ded=4 shr=0 com=4 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1956 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 0 MiB; 1, 0 MiB
03:53:50 | 3c6c_phys_0 ded=15270 shr=88 com=15359 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1956 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15266 MiB; 1, 0 MiB
03:54:03 | 3c6c_phys_0 ded=15270 shr=88 com=15359 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1956 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15266 MiB; 1, 0 MiB
03:54:17 | 3c6c_phys_0 ded=15270 shr=88 com=15359 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1956 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15266 MiB; 1, 0 MiB
03:54:31 | 3c6c_phys_0 ded=15270 shr=88 com=15359 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1956 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15266 MiB; 1, 0 MiB
03:54:44 | 3c6c_phys_0 ded=15270 shr=88 com=15359 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1956 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15266 MiB; 1, 0 MiB
03:54:57 | 3c6c_phys_0 ded=15270 shr=88 com=15359 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1956 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15266 MiB; 1, 0 MiB
03:55:10 | 3c6c_phys_0 ded=15270 shr=88 com=15359 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1956 shr=1375 com=6041 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15266 MiB; 1, 0 MiB
03:55:23 | 3c6c_phys_0 ded=24135 shr=3062 com=28026 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1956 shr=1451 com=6064 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 24124 MiB; 1, 0 MiB
03:55:36 | 3c6c_phys_0 ded=15414 shr=938 com=16352 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1938 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15408 MiB; 1, 0 MiB
03:55:49 | 3c6c_phys_0 ded=15414 shr=938 com=16424 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1938 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15582 MiB; 1, 0 MiB
03:56:03 | 3c6c_phys_0 ded=15848 shr=884 com=16732 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1938 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15842 MiB; 1, 0 MiB
03:56:16 | 3c6c_phys_0 ded=15902 shr=830 com=16732 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1938 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 15896 MiB; 1, 0 MiB
03:56:29 | 3c6c_phys_0 ded=16032 shr=700 com=16732 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1431 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 16026 MiB; 1, 0 MiB
03:56:42 | 3c6c_phys_0 ded=16096 shr=636 com=16732 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1431 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 16090 MiB; 1, 0 MiB
03:56:55 | 3c6c_phys_0 ded=16127 shr=544 com=17006 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 16456 MiB; 1, 0 MiB
03:57:08 | 3c6c_phys_0 ded=16687 shr=320 com=17007 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 16682 MiB; 1, 0 MiB
03:57:21 | 3c6c_phys_0 ded=16777 shr=232 com=17009 | 4ca2_phys_0 ded=4 shr=0 com=5 | 5c7c_phys_0 ded=1960 shr=1451 com=6042 | 7648_phys_0 ded=0 shr=0 com=40 || 0, 16794 MiB; 1, 0 MiB
